Item name,unit,Protein,Fat,fibre,carbohydrate,Calories,energy_kj,Calcium,Iron,Betacarotene,caroten_total,Thiamine,Riboflavin,Niacin,Ascorbic Acid,ext_source,pu_cal,pu_prot,pu_fat
Poultry birds,Kilograms,174.2,138.1,0,0,1927.4865,8070,129.1,8.3,0,0,1.7,1.3,56,0,0,1090,259,6
Potato,Kilograms,14.35,2.4,28.35,198.4,910.0028,3810,185.1,4.6,26880,44395,0.65,0.24999999,8.55,205.45001,0,967,16,1
Onion,Kilograms,15,2.3999999,24.5,95.600006,480.08026,2010,210.3,4.3,10.8,891,0.39999998,0.099999994,3.4,66.9,0,550,15,1
Tomato,Kilograms,9,4.7,17.7,27.1,195.85364,820,101.7,3,9050,46560,0.29999998,0.29999998,5.2,274.69998,0,200,9,2
Brinjal,Kilograms,14.8,3.1999998,39.8,35.2,253.17665,1060,165.9,3.7,1460,3090,0.59999996,1.1,5.2999997,20.9,0,240,14,3
Leafy vegetables,Kilograms,17.45244,4.721951,27.47195,62.2061,378.47052,1584.5803,541.0342,18.584146,14504.395,53000.76,1.0207317,0.7012195,3.8146343,299.36584,0,260,20,7
Chillies,Kilograms,23.599998,7.2000003,47.7,58.600002,422.75723,1770,184.5,12,1250,13470,0.90000004,1.1,8.9,940.7,0,290,29,6
Cabbage,Kilograms,13.6,1.1999999,27.6,32.5,214.9613,900,517.6,3.5,204.79999,2730,0.29999998,0.5,2.3999999,332.5,0,270,18,1
Lemon,Number,0.41,0.75,0,6.97,36.543423,153,22.68,0.12,2.62,85.99,0.04,0.01,0.1,48.16,0,10,0.2,0.200000003
Other vegetables,Rupees,1.3504878,0.30439025,3.1143901,10.39122,51.33182,214.91608,25.91683,0.76682925,295.87894,1047.1525,0.04414634,0.0402439,0.43292683,29.59317,0,27.70000076,0.8,0.1599999964
Banana,Number,1.25,0.32,2.21,24.95,110.58565,463,6.77,0.4,53.06,260,0.01,0.04,0.48,8.06,0,116,1.2,0.3000000119
Coconut,Number,3.84,41.38,10.42,6.3,408.66534,1711,8,1.3,2.66,204,0.03,0.08,0.3,0.8,0,660,6.7,62.40000153
Orange,Number,0.7,0.13,1.29,7.92,37.25996,156,19.52,0.81,31.94,675,0.07,0.02,0.28,42.72,0,50,1,1
